Date,Description,Card Member,Account #,Amount
08/04/2024,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,24.64
08/07/2024,SPOTIFY USA,J RIVERA,-31009,10.99
08/07/2024,SQ *BLUE BOTTLE COFFEE,J RIVERA,-31009,7.16
08/07/2024,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,19.97
08/10/2024,DOORDASH*THAI GARDEN,J RIVERA,-31009,15.71
08/11/2024,APPLE.COM/BILL ICLOUD,J RIVERA,-31009,2.99
08/12/2024,SAFEWAY #1781,J RIVERA,-31009,57.29
08/13/2024,UBER EATS ORDER,J RIVERA,-31009,17.12
08/13/2024,WHOLE FOODS MKT 10234,J RIVERA,-31009,56.66
08/14/2024,PLANET FITNESS CLUB FEES,J RIVERA,-31009,24.99
08/14/2024,SQ *NOODLE BAR,J RIVERA,-31009,18.47
08/14/2024,STARBUCKS STORE 08812,J RIVERA,-31009,5.20
08/15/2024,SHELL OIL 57442,J RIVERA,-31009,42.41
08/15/2024,STEAMGAMES.COM 4259522,J RIVERA,-31009,51.11
08/16/2024,SHAKE SHACK #221,J RIVERA,-31009,26.30
08/16/2024,AMAZON.COM*RT5GH1,J RIVERA,-31009,56.78
08/17/2024,STARBUCKS STORE 08812,J RIVERA,-31009,4.37
08/17/2024,STARBUCKS STORE 08812,J RIVERA,-31009,7.32
08/18/2024,SHELL OIL 57442,J RIVERA,-31009,55.38
08/19/2024,SAFEWAY #1781,J RIVERA,-31009,89.02
08/19/2024,TARGET 00012345,J RIVERA,-31009,13.33
08/19/2024,WALGREENS #3321,J RIVERA,-31009,39.69
08/20/2024,PEETS COFFEE #117,J RIVERA,-31009,5.24
08/21/2024,SHELL OIL 57442,J RIVERA,-31009,44.58
08/22/2024,TST* THE HOLLOW DINER,J RIVERA,-31009,22.01
08/24/2024,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,21.71
08/25/2024,SAFEWAY #1781,J RIVERA,-31009,63.18
08/25/2024,AUTOPAY PAYMENT - THANK YOU,J RIVERA,-31009,-1430.34
08/27/2024,CHIPOTLE 1123,J RIVERA,-31009,17.17
08/27/2024,TRADER JOE'S #552,J RIVERA,-31009,50.73
08/28/2024,STARBUCKS STORE 08812,J RIVERA,-31009,4.98
08/30/2024,SQ *NOODLE BAR,J RIVERA,-31009,17.40
08/30/2024,STARBUCKS STORE 08812,J RIVERA,-31009,5.48
08/30/2024,PEETS COFFEE #117,J RIVERA,-31009,5.99
08/30/2024,SHELL OIL 57442,J RIVERA,-31009,42.11
08/31/2024,TST* THE HOLLOW DINER,J RIVERA,-31009,11.91
08/31/2024,SHAKE SHACK #221,J RIVERA,-31009,14.67
08/31/2024,PEETS COFFEE #117,J RIVERA,-31009,7.47
08/31/2024,SAFEWAY #1781,J RIVERA,-31009,65.33
09/01/2024,CHIPOTLE 1123,J RIVERA,-31009,22.22
09/02/2024,DOORDASH*THAI GARDEN,J RIVERA,-31009,23.44
09/02/2024,PEETS COFFEE #117,J RIVERA,-31009,5.48
09/02/2024,SHELL OIL 57442,J RIVERA,-31009,60.04
09/03/2024,NETFLIX.COM,J RIVERA,-31009,15.49
09/04/2024,AMZN MKTP US*2K4LZ91,J RIVERA,-31009,10.52
09/06/2024,SQ *BLUE BOTTLE COFFEE,J RIVERA,-31009,6.60
09/06/2024,SAFEWAY #1781,J RIVERA,-31009,29.28
09/07/2024,SPOTIFY USA,J RIVERA,-31009,10.99
09/08/2024,TRADER JOE'S #552,J RIVERA,-31009,47.95
09/08/2024,ETSY.COM - HANDMADE,J RIVERA,-31009,36.88
09/09/2024,WHOLE FOODS MKT 10234,J RIVERA,-31009,46.01
09/09/2024,STEAMGAMES.COM 4259522,J RIVERA,-31009,89.08
09/10/2024,SAFEWAY #1781,J RIVERA,-31009,47.46
09/10/2024,TICKETMASTER,J RIVERA,-31009,31.75
09/11/2024,APPLE.COM/BILL ICLOUD,J RIVERA,-31009,2.99
09/11/2024,WHOLE FOODS MKT 10234,J RIVERA,-31009,37.34
09/14/2024,PLANET FITNESS CLUB FEES,J RIVERA,-31009,24.99
09/14/2024,SWEETGREEN MISSION,J RIVERA,-31009,46.21
09/14/2024,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,21.18
09/15/2024,SWEETGREEN MISSION,J RIVERA,-31009,23.06
09/15/2024,SWEETGREEN MISSION,J RIVERA,-31009,27.01
09/15/2024,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,22.76
09/17/2024,SAFEWAY #1781,J RIVERA,-31009,93.44
09/17/2024,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,20.86
09/19/2024,SQ *BLUE BOTTLE COFFEE,J RIVERA,-31009,7.22
09/20/2024,SHELL OIL 57442,J RIVERA,-31009,44.20
09/21/2024,TST* THE HOLLOW DINER,J RIVERA,-31009,16.54
09/21/2024,SWEETGREEN MISSION,J RIVERA,-31009,13.16
09/21/2024,SQ *BLUE BOTTLE COFFEE,J RIVERA,-31009,4.99
09/21/2024,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,13.95
09/22/2024,WHOLE FOODS MKT 10234,J RIVERA,-31009,87.50
09/23/2024,SQ *BLUE BOTTLE COFFEE,J RIVERA,-31009,5.39
09/24/2024,DOORDASH*THAI GARDEN,J RIVERA,-31009,17.66
09/24/2024,PEETS COFFEE #117,J RIVERA,-31009,5.04
09/24/2024,TRADER JOE'S #552,J RIVERA,-31009,37.86
09/25/2024,AUTOPAY PAYMENT - THANK YOU,J RIVERA,-31009,-1188.61
09/26/2024,COSTCO WHSE #0421,J RIVERA,-31009,26.24
09/27/2024,PEETS COFFEE #117,J RIVERA,-31009,5.97
09/28/2024,SQ *BLUE BOTTLE COFFEE,J RIVERA,-31009,6.09
09/28/2024,TRADER JOE'S #552,J RIVERA,-31009,45.08
09/29/2024,COSTCO WHSE #0421,J RIVERA,-31009,104.45
09/30/2024,SQ *NOODLE BAR,J RIVERA,-31009,10.77
09/30/2024,STARBUCKS STORE 08812,J RIVERA,-31009,6.15
09/30/2024,AMZN MKTP US*2K4LZ91,J RIVERA,-31009,175.14
10/02/2024,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,21.12
10/03/2024,NETFLIX.COM,J RIVERA,-31009,15.49
10/05/2024,SQ *BLUE BOTTLE COFFEE,J RIVERA,-31009,4.72
10/05/2024,STARBUCKS STORE 08812,J RIVERA,-31009,6.03
10/05/2024,COSTCO WHSE #0421,J RIVERA,-31009,32.12
10/06/2024,SHELL OIL 57442,J RIVERA,-31009,50.26
10/07/2024,SPOTIFY USA,J RIVERA,-31009,10.99
10/07/2024,CHIPOTLE 1123,J RIVERA,-31009,40.79
10/07/2024,AMZN MKTP US*2K4LZ91,J RIVERA,-31009,41.85
10/10/2024,DOORDASH*THAI GARDEN,J RIVERA,-31009,22.99
10/10/2024,STARBUCKS STORE 08812,J RIVERA,-31009,4.28
10/11/2024,APPLE.COM/BILL ICLOUD,J RIVERA,-31009,2.99
10/13/2024,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,28.82
10/14/2024,PLANET FITNESS CLUB FEES,J RIVERA,-31009,24.99
10/14/2024,UBER EATS ORDER,J RIVERA,-31009,32.02
10/15/2024,SQ *BLUE BOTTLE COFFEE,J RIVERA,-31009,5.52
10/16/2024,STARBUCKS STORE 08812,J RIVERA,-31009,6.60
10/17/2024,PEETS COFFEE #117,J RIVERA,-31009,6.71
10/19/2024,CHIPOTLE 1123,J RIVERA,-31009,24.62
10/20/2024,TICKETMASTER,J RIVERA,-31009,54.40
10/22/2024,TRADER JOE'S #552,J RIVERA,-31009,72.04
10/24/2024,SQ *NOODLE BAR,J RIVERA,-31009,24.68
10/24/2024,TST* THE HOLLOW DINER,J RIVERA,-31009,46.74
10/25/2024,AUTOPAY PAYMENT - THANK YOU,J RIVERA,-31009,-1436.43
10/27/2024,TST* THE HOLLOW DINER,J RIVERA,-31009,15.61
10/27/2024,SQ *BLUE BOTTLE COFFEE,J RIVERA,-31009,6.16
10/29/2024,PEETS COFFEE #117,J RIVERA,-31009,7.20
11/01/2024,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,22.38
11/02/2024,TST* THE HOLLOW DINER,J RIVERA,-31009,24.40
11/02/2024,SQ *NOODLE BAR,J RIVERA,-31009,14.01
11/02/2024,CHIPOTLE 1123,J RIVERA,-31009,27.73
11/02/2024,STARBUCKS STORE 08812,J RIVERA,-31009,5.27
11/03/2024,NETFLIX.COM,J RIVERA,-31009,15.49
11/03/2024,PEETS COFFEE #117,J RIVERA,-31009,5.35
11/03/2024,STARBUCKS STORE 08812,J RIVERA,-31009,7.22
11/04/2024,WHOLE FOODS MKT 10234,J RIVERA,-31009,40.36
11/05/2024,COSTCO WHSE #0421,J RIVERA,-31009,118.63
11/06/2024,AMC THEATRES 4410,J RIVERA,-31009,79.43
11/07/2024,SPOTIFY USA,J RIVERA,-31009,10.99
11/07/2024,TRADER JOE'S #552,J RIVERA,-31009,130.47
11/08/2024,AMAZON PRIME*MEMBERSHIP,J RIVERA,-31009,139.00
11/08/2024,UBER EATS ORDER,J RIVERA,-31009,12.13
11/08/2024,PEETS COFFEE #117,J RIVERA,-31009,5.23
11/09/2024,STARBUCKS STORE 08812,J RIVERA,-31009,5.25
11/09/2024,PEETS COFFEE #117,J RIVERA,-31009,5.63
11/09/2024,STARBUCKS STORE 08812,J RIVERA,-31009,7.33
11/09/2024,SHELL OIL 57442,J RIVERA,-31009,45.57
11/09/2024,AMC THEATRES 4410,J RIVERA,-31009,32.63
11/10/2024,SHAKE SHACK #221,J RIVERA,-31009,23.55
11/10/2024,STARBUCKS STORE 08812,J RIVERA,-31009,4.85
11/10/2024,WHOLE FOODS MKT 10234,J RIVERA,-31009,122.95
11/10/2024,SHELL OIL 57442,J RIVERA,-31009,47.75
11/11/2024,APPLE.COM/BILL ICLOUD,J RIVERA,-31009,2.99
11/11/2024,SAFEWAY #1781,J RIVERA,-31009,47.62
11/12/2024,WHOLE FOODS MKT 10234,J RIVERA,-31009,59.77
11/12/2024,TICKETMASTER,J RIVERA,-31009,67.22
11/13/2024,SHELL OIL 57442,J RIVERA,-31009,42.64
11/14/2024,PLANET FITNESS CLUB FEES,J RIVERA,-31009,24.99
11/15/2024,SQ *NOODLE BAR,J RIVERA,-31009,24.60
11/15/2024,SAFEWAY #1781,J RIVERA,-31009,61.19
11/15/2024,STEAMGAMES.COM 4259522,J RIVERA,-31009,30.31
11/15/2024,WALGREENS #3321,J RIVERA,-31009,47.10
11/16/2024,SHAKE SHACK #221,J RIVERA,-31009,19.70
11/16/2024,STARBUCKS STORE 08812,J RIVERA,-31009,5.63
11/16/2024,SQ *BLUE BOTTLE COFFEE,J RIVERA,-31009,4.87
11/16/2024,AMAZON.COM*RT5GH1,J RIVERA,-31009,48.78
11/17/2024,TST* THE HOLLOW DINER,J RIVERA,-31009,22.98
11/17/2024,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,20.58
11/17/2024,AMAZON.COM*RT5GH1,J RIVERA,-31009,17.25
11/18/2024,PEETS COFFEE #117,J RIVERA,-31009,5.19
11/18/2024,SAFEWAY #1781,J RIVERA,-31009,106.67
11/20/2024,AMAZON.COM*RT5GH1,J RIVERA,-31009,24.13
11/21/2024,UBER EATS ORDER,J RIVERA,-31009,26.51
11/22/2024,STARBUCKS STORE 08812,J RIVERA,-31009,5.11
11/22/2024,STARBUCKS STORE 08812,J RIVERA,-31009,5.92
11/22/2024,STARBUCKS STORE 08812,J RIVERA,-31009,4.48
11/22/2024,SHELL OIL 57442,J RIVERA,-31009,45.81
11/23/2024,SQ *NOODLE BAR,J RIVERA,-31009,21.67
11/24/2024,PEETS COFFEE #117,J RIVERA,-31009,5.11
11/25/2024,DOORDASH*THAI GARDEN,J RIVERA,-31009,52.27
11/25/2024,TARGET 00012345,J RIVERA,-31009,54.45
11/25/2024,AUTOPAY PAYMENT - THANK YOU,J RIVERA,-31009,-609.74
11/26/2024,COSTCO WHSE #0421,J RIVERA,-31009,42.87
11/27/2024,STARBUCKS STORE 08812,J RIVERA,-31009,6.39
11/28/2024,CHIPOTLE 1123,J RIVERA,-31009,20.75
11/28/2024,COSTCO WHSE #0421,J RIVERA,-31009,78.36
11/28/2024,TICKETMASTER,J RIVERA,-31009,34.03
11/29/2024,SWEETGREEN MISSION,J RIVERA,-31009,33.50
11/29/2024,SWEETGREEN MISSION,J RIVERA,-31009,34.86
11/29/2024,PEETS COFFEE #117,J RIVERA,-31009,5.98
11/30/2024,SQ *NOODLE BAR,J RIVERA,-31009,35.90
11/30/2024,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,29.87
12/01/2024,TARGET 00012345,J RIVERA,-31009,38.99
12/03/2024,NETFLIX.COM,J RIVERA,-31009,15.49
12/03/2024,SWEETGREEN MISSION,J RIVERA,-31009,44.94
12/03/2024,STARBUCKS STORE 08812,J RIVERA,-31009,5.97
12/03/2024,ETSY.COM - HANDMADE,J RIVERA,-31009,30.89
12/04/2024,CHIPOTLE 1123,J RIVERA,-31009,31.79
12/04/2024,TARGET 00012345,J RIVERA,-31009,37.71
12/05/2024,UBER EATS ORDER,J RIVERA,-31009,22.95
12/05/2024,AMZN MKTP US*2K4LZ91,J RIVERA,-31009,52.65
12/06/2024,SQ *NOODLE BAR,J RIVERA,-31009,17.57
12/07/2024,SPOTIFY USA,J RIVERA,-31009,10.99
12/07/2024,SQ *NOODLE BAR,J RIVERA,-31009,23.09
12/07/2024,TST* THE HOLLOW DINER,J RIVERA,-31009,18.83
12/07/2024,PEETS COFFEE #117,J RIVERA,-31009,6.20
12/07/2024,AMZN MKTP US*2K4LZ91,J RIVERA,-31009,37.91
12/08/2024,DOORDASH*THAI GARDEN,J RIVERA,-31009,21.95
12/11/2024,APPLE.COM/BILL ICLOUD,J RIVERA,-31009,2.99
12/13/2024,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,30.26
12/13/2024,TARGET 00012345,J RIVERA,-31009,24.23
12/13/2024,AMZN MKTP US*2K4LZ91,J RIVERA,-31009,66.28
12/13/2024,WALGREENS #3321,J RIVERA,-31009,39.65
12/14/2024,PLANET FITNESS CLUB FEES,J RIVERA,-31009,24.99
12/14/2024,AMZN MKTP US*2K4LZ91,J RIVERA,-31009,139.33
12/15/2024,SQ *NOODLE BAR,J RIVERA,-31009,33.25
12/15/2024,SQ *NOODLE BAR,J RIVERA,-31009,16.00
12/15/2024,TST* THE HOLLOW DINER,J RIVERA,-31009,14.89
12/15/2024,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,26.00
12/15/2024,ETSY.COM - HANDMADE,J RIVERA,-31009,24.79
12/16/2024,SQ *BLUE BOTTLE COFFEE,J RIVERA,-31009,6.94
12/16/2024,PEETS COFFEE #117,J RIVERA,-31009,6.66
12/17/2024,DOORDASH*THAI GARDEN,J RIVERA,-31009,39.76
12/17/2024,SAFEWAY #1781,J RIVERA,-31009,43.16
12/17/2024,AMAZON.COM*RT5GH1,J RIVERA,-31009,42.62
12/18/2024,SQ *BLUE BOTTLE COFFEE,J RIVERA,-31009,6.21
12/21/2024,WHOLE FOODS MKT 10234,J RIVERA,-31009,58.67
12/21/2024,TARGET 00012345,J RIVERA,-31009,81.92
12/21/2024,TARGET 00012345,J RIVERA,-31009,39.35
12/22/2024,SHAKE SHACK #221,J RIVERA,-31009,19.68
12/22/2024,WHOLE FOODS MKT 10234,J RIVERA,-31009,78.72
12/22/2024,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,33.09
12/23/2024,TRADER JOE'S #552,J RIVERA,-31009,52.46
12/23/2024,AMAZON.COM*RT5GH1,J RIVERA,-31009,126.19
12/25/2024,TST* THE HOLLOW DINER,J RIVERA,-31009,28.38
12/25/2024,AUTOPAY PAYMENT - THANK YOU,J RIVERA,-31009,-2181.65
12/26/2024,AMZN MKTP US*2K4LZ91,J RIVERA,-31009,35.31
12/27/2024,SQ *NOODLE BAR,J RIVERA,-31009,21.80
12/27/2024,CHIPOTLE 1123,J RIVERA,-31009,17.50
12/27/2024,COSTCO WHSE #0421,J RIVERA,-31009,51.17
12/28/2024,SHAKE SHACK #221,J RIVERA,-31009,39.07
12/28/2024,STARBUCKS STORE 08812,J RIVERA,-31009,5.07
12/29/2024,UBER EATS ORDER,J RIVERA,-31009,16.27
12/30/2024,UBER EATS ORDER,J RIVERA,-31009,27.69
12/30/2024,SQ *BLUE BOTTLE COFFEE,J RIVERA,-31009,5.50
12/30/2024,AMZN MKTP US*2K4LZ91,J RIVERA,-31009,27.84
12/31/2024,UBER EATS ORDER,J RIVERA,-31009,24.69
12/31/2024,COSTCO WHSE #0421,J RIVERA,-31009,35.75
12/31/2024,AMAZON.COM*RT5GH1,J RIVERA,-31009,52.99
01/01/2025,SHAKE SHACK #221,J RIVERA,-31009,16.65
01/01/2025,SQ *BLUE BOTTLE COFFEE,J RIVERA,-31009,4.54
01/01/2025,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,32.15
01/03/2025,NETFLIX.COM,J RIVERA,-31009,15.49
01/03/2025,WHOLE FOODS MKT 10234,J RIVERA,-31009,36.38
01/04/2025,CHIPOTLE 1123,J RIVERA,-31009,18.59
01/04/2025,SHAKE SHACK #221,J RIVERA,-31009,25.84
01/04/2025,SAFEWAY #1781,J RIVERA,-31009,13.41
01/05/2025,PELOTON INTERACTIVE MEMBERSHIP,J RIVERA,-31009,44.00
01/05/2025,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,27.26
01/07/2025,SPOTIFY USA,J RIVERA,-31009,10.99
01/07/2025,TST* THE HOLLOW DINER,J RIVERA,-31009,21.14
01/07/2025,PEETS COFFEE #117,J RIVERA,-31009,6.67
01/07/2025,TICKETMASTER,J RIVERA,-31009,70.37
01/10/2025,DOORDASH*THAI GARDEN,J RIVERA,-31009,42.83
01/11/2025,APPLE.COM/BILL ICLOUD,J RIVERA,-31009,2.99
01/11/2025,TST* THE HOLLOW DINER,J RIVERA,-31009,21.94
01/11/2025,TARGET 00012345,J RIVERA,-31009,14.85
01/13/2025,SWEETGREEN MISSION,J RIVERA,-31009,24.08
01/13/2025,PEETS COFFEE #117,J RIVERA,-31009,6.20
01/13/2025,WHOLE FOODS MKT 10234,J RIVERA,-31009,66.58
01/13/2025,TICKETMASTER,J RIVERA,-31009,88.27
01/14/2025,PLANET FITNESS CLUB FEES,J RIVERA,-31009,24.99
01/14/2025,PEETS COFFEE #117,J RIVERA,-31009,4.97
01/15/2025,SHAKE SHACK #221,J RIVERA,-31009,31.13
01/15/2025,DOORDASH*THAI GARDEN,J RIVERA,-31009,36.79
01/15/2025,SQ *NOODLE BAR,J RIVERA,-31009,34.73
01/15/2025,UBER EATS ORDER,J RIVERA,-31009,35.51
01/15/2025,TRADER JOE'S #552,J RIVERA,-31009,62.31
01/15/2025,AMAZON.COM*RT5GH1,J RIVERA,-31009,10.17
01/16/2025,UBER EATS ORDER,J RIVERA,-31009,25.14
01/16/2025,PEETS COFFEE #117,J RIVERA,-31009,6.45
01/16/2025,PEETS COFFEE #117,J RIVERA,-31009,7.60
01/16/2025,TRADER JOE'S #552,J RIVERA,-31009,45.76
01/17/2025,NYTIMES DIGITAL,J RIVERA,-31009,4.00
01/17/2025,SHAKE SHACK #221,J RIVERA,-31009,12.55
01/17/2025,SWEETGREEN MISSION,J RIVERA,-31009,20.01
01/17/2025,UBER EATS ORDER,J RIVERA,-31009,24.59
01/17/2025,SQ *BLUE BOTTLE COFFEE,J RIVERA,-31009,7.50
01/18/2025,COSTCO WHSE #0421,J RIVERA,-31009,87.06
01/18/2025,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,16.67
01/19/2025,SQ *NOODLE BAR,J RIVERA,-31009,17.84
01/19/2025,CHIPOTLE 1123,J RIVERA,-31009,50.70
01/20/2025,WHOLE FOODS MKT 10234,J RIVERA,-31009,68.80
01/22/2025,PEETS COFFEE #117,J RIVERA,-31009,4.64
01/25/2025,PEETS COFFEE #117,J RIVERA,-31009,5.72
01/25/2025,COSTCO WHSE #0421,J RIVERA,-31009,105.67
01/25/2025,AMAZON.COM*RT5GH1,J RIVERA,-31009,51.53
01/25/2025,AUTOPAY PAYMENT - THANK YOU,J RIVERA,-31009,-1885.04
01/26/2025,CHIPOTLE 1123,J RIVERA,-31009,21.85
01/26/2025,WALGREENS #3321,J RIVERA,-31009,17.48
01/27/2025,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,17.14
01/27/2025,AMAZON.COM*RT5GH1,J RIVERA,-31009,13.99
01/28/2025,PEETS COFFEE #117,J RIVERA,-31009,4.57
01/28/2025,SAFEWAY #1781,J RIVERA,-31009,79.88
01/29/2025,ETSY.COM - HANDMADE,J RIVERA,-31009,48.84
01/30/2025,PEETS COFFEE #117,J RIVERA,-31009,4.71
01/30/2025,SQ *BLUE BOTTLE COFFEE,J RIVERA,-31009,6.17
01/30/2025,PEETS COFFEE #117,J RIVERA,-31009,4.66
01/30/2025,TRADER JOE'S #552,J RIVERA,-31009,40.89
01/31/2025,SQ *NOODLE BAR,J RIVERA,-31009,16.97
01/31/2025,SHAKE SHACK #221,J RIVERA,-31009,14.93
02/01/2025,SQ *NOODLE BAR,J RIVERA,-31009,25.21
02/01/2025,CHIPOTLE 1123,J RIVERA,-31009,35.36
02/02/2025,TST* THE HOLLOW DINER,J RIVERA,-31009,32.09
02/02/2025,AMZN MKTP US*2K4LZ91,J RIVERA,-31009,23.21
02/03/2025,NETFLIX.COM,J RIVERA,-31009,15.49
02/03/2025,AMAZON.COM*RT5GH1,J RIVERA,-31009,17.21
02/04/2025,UBER *TRIP HELP.UBER.COM,J RIVERA,-31009,12.56
02/05/2025,PELOTON INTERACTIVE MEMBERSHIP,J RIVERA,-31009,44.00
02/05/2025,ETSY.COM - HANDMADE,J RIVERA,-31009,43.32
02/05/2025,AMZN MKTP US*2K4LZ91,J RIVERA,-31009,14.17
02/07/2025,SPOTIFY USA,J RIVERA,-31009,10.99
02/07/2025,STARBUCKS STORE 08812,J RIVERA,-31009,7.52
02/08/2025,SAFEWAY #1781,J RIVERA,-31009,41.74
02/09/2025,UBER EATS ORDER,J RIVERA,-31009,17.14
02/09/2025,DOORDASH*THAI GARDEN,J RIVERA,-31009,31.59
02/09/2025,SQ *BLUE BOTTLE COFFEE,J RIVERA,-31009,5.92
02/09/2025,STARBUCKS STORE 08812,J RIVERA,-31009,5.34
02/09/2025,PEETS COFFEE #117,J RIVERA,-31009,6.49
02/09/2025,PEETS COFFEE #117,J RIVERA,-31009,5.00
02/09/2025,SHELL OIL 57442,J RIVERA,-31009,48.18
02/09/2025,AMZN MKTP US*2K4LZ91,J RIVERA,-31009,40.33
02/10/2025,WHOLE FOODS MKT 10234,J RIVERA,-31009,32.47
02/11/2025,APPLE.COM/BILL ICLOUD,J RIVERA,-31009,2.99
02/11/2025,STARBUCKS STORE 08812,J RIVERA,-31009,5.53
02/11/2025,SAFEWAY #1781,J RIVERA,-31009,38.93
02/11/2025,SHELL OIL 57442,J RIVERA,-31009,58.72
02/13/2025,UBER EATS ORDER,J RIVERA,-31009,32.01
02/13/2025,SHELL OIL 57442,J RIVERA,-31009,57.61
02/14/2025,PLANET FITNESS CLUB FEES,J RIVERA,-31009,24.99
02/14/2025,PLANET FITNESS ANNUAL FEE,J RIVERA,-31009,49.00
02/14/2025,SAFEWAY #1781,J RIVERA,-31009,115.22
02/14/2025,TARGET 00012345,J RIVERA,-31009,19.86
02/14/2025,AMZN MKTP US*2K4LZ91,J RIVERA,-31009,8.63
02/14/2025,AMAZON.COM*RT5GH1,J RIVERA,-31009,98.68
02/15/2025,DOORDASH*THAI GARDEN,J RIVERA,-31009,45.90
